Major,"Date 
Contacted",Eggs,Milk,Fish,Shellfish,Peanuts,Tree Nuts,Sesame,Soy,Wheat/Gluten,Vegan,Vegetarian,Halal,Kosher,Other,Intial Concern,Hall (Living/Eating),Class Type,Notes,RCPD,Specialist,Dining Accommodation
Media and Info,8/22/17,,,,,,,,,,,,,,"Tomato, cheese",,Hubbard,Incoming Freshman,,,,
Premed,8/22/17,,,x,x,,,,,,,,,,,,Yakeley,Incoming Freshman,,,,
Psychology,8/24/17,,,,,,,,,x,,,,,Celiac -- trying to meet to talk about options,,Landon,Sophomore,,,,
Economics,8/25/17,,,,,,,,,,,,,,Minimally processed foods,mom gave specific meal plan to follow -- he never reached out to me,Holden,Incoming Freshman,,,,
Business,8/27/17,,,,,x,x,,,,,,,,,,Snyder,Sophomore,,,,
Engineering,8/31/17,,,,,,,,,,,,,,Visually impaired -- wants preplated meals,Referred to RCPD,Case,Freshman,,X,,
Landscape Architecture,8/31/17,,x,,,,,,x,x,,x,,,Avoids corn/soy; strict with veg/gluten,came from RCPD,Landon,Freshman,,X,,
Agricultural Industries,8/31/17,,,,,,,,,,,,,,Sunflower,,Unknown,Freshman,,,,
Food Industry Management,9/4/17,,,,,,,,,,,,,,UC and IBS - no meal plan,came from RCPD,Unknown,Sophomore,,X,,
Advertising,9/5/17,,,,,,,,,,,,,,Wanted a recipe,,Unknown,Junior,,,,
DO NOT CONTACT,9/6/17,,x,,,,,,,x,,,,,FODMAP,DO NOT CONTACT,Shaw,Employee,DO NOT CONTACT,X,,
James Madison,9/8/17,,,,,,,,,x,,,,,Celiac,,Case,Freshman,,,,
Envir Bioliogy/Zoology,9/10/17,,,,,,,,,,x,,,,,Wants more options,Brody,Freshman,,,,
Psychology,9/10/17,,,,,x,x,,,,,,,,"Unknown reaction -- allergist test afterwards said buckwheat, coconut, hazelnut, peanut, walnut",Had reaction 9/7 in Case,Case,Senior,,,,
,9/13/17,,,,,,,,,x,,,,,Celiac,Concessions,Unknown,Community,,,,
Applied Engineering Sciences,9/13/17,,x,,,,,,,,,,,,,Wants vegan cheese,Snyder,Freshman,,,,
Comparative Culture & Politics,9/14/17,,,,,,,,,,,x,,,Eats fish; severe dysphagia,,Unknown,Sophomore,,X,,
,9/14/17,,,,,,,,,x,,,,,Celiac,,Unknown,Prospective,,,,
Engineering,9/15/17,,,,,,,,,,,,,,"Upset about TFA, the uses of margarine",,Unknown,Freshman,,,,
Prelaw,9/17/17,,x,,,,,,,,,,,,Cow protein -- can't have anything from a cow,,Gilchrist,Senior,,,,
Social Relations And Policy,9/17/17,,,,,,,,,,x,,,,,More bfast options,Case,Junior,,,,
Political Science,9/22/17,,,,,,,,,,x,,,,,,Unknown,Unknown,,,,
James Madison,9/25/17,x,x,,,,,,,,,,,,,"Wants a to-go box of chicken, rice, veg ready for him at Bfast",Case,Freshman,,X,,
Animal Science,10/2/17,,,,,,,,,,x,,,,,No options,Akers,Freshman,,,,
Lifelong Education,10/2/17,,,,,,,,,,,,x,,,,Shaw,Unknown,Exchange Student,,,
Business,10/3/17,,,,,,,,,,,,,,,Wants more raw options for CX,Brody,Freshman,,,,
Neuroscience,10/4/17,,,,,,,,,,,,,,ED,,Unknown,Junior,,,,
Dietetics,10/6/17,,,,,x,,,x,,,,,,,,Holmes,Sophomore,,,,
Engineering,10/6/17,,,,,,,,,,,x,,,,Wants more options at Sparty's,Off Campus,Graduate,,,,
Business,10/10/17,,,,,,,,,,,,,,,Wanted nutritional information,Off Campus,Junior,,,,
History Education,10/10/17,,x,,,,,,,x,x,,,,Sunflower oil/seeds,,Unknown,Sophomore,,,,
Advertising,10/15/17,,,,,,,,,,,,,,,Wants nutritionals for every Sparty's drink in all sizes,Off Campus,Senior,,,,
Food Industry Management,10/17/17,,,,,,,,,,,,,,FODMAP,,Unknown,Junior,,X,,
,10/19/17,,,,,,,,,x,x,,,,Celiac,,Unknown,Incoming Freshman,,,,
Kinesiology,10/24/17,,,,,,,,,x,,,,,,Limited options,Holmes,Transfer,,,,
,10/25/17,,,,,,,,,,,,,,Has 3 long days where he can't get lunch and needs food for meds -- wants special accomodations outside of CX,,Unknown,Unknown,,,,
Premed,10/27/17,,,,,,,,,,,,,,Stomach issues since being on campus,,Unknown,Freshman,,,,
Health and Risk Communication,10/30/17,,,,,,,,,,,,,,Digestive Disorder -- RCPD requests meal plan refund,,Unknown,Graduate,,X,,
,11/1/17,,,,,x,x,,,,,,,,,,Unknown,Incoming Freshman,,,,
Food Science ,11/2/17,,,,,,,,,,x,,,,Low vegan options,,Landon,Junior,,,,
Computer Science,11/4/17,,,,,,,,,,,,x,,Where does the meat come from?,,Holmes,Freshman,,,,
Intr Studies In Social Science,11/4/17,,,,,,,,,,,x,,,Had mislabeled sauce dish with meat in it,,Shaw,Sophomore,,,,
Biomedical Laboratory Science,11/6/17,,,,,,,,,x,,,,,Celiac,No desserts,Landon,Senior,,,,
Environmental Health and Safety,11/13/17,,,,,,,,,,,,,,Oils used for eggs,,Gallery,Employee,,,,
Theatre,11/15/17,,,,,,,,,,x,,,,Low vegan options,,Landon,Freshman,,,,
,11/15/17,,,,,x,x,,,,,,,,,,Unknown,Unknown,,X,,
Communication,11/20/17,,x,,,,,,,,,,,,Allergic reaction,,Case,Freshman,,X,,
Interior Design,11/20/17,,,,,,,x,,,,,,,Decreased options,,Unknown,Sophomore,,,,
Comparative Culture & Politics,11/20/17,,,,,,,,,,,,,,Micronutrients,,Unknown,Junior,,,,
Advertising,11/20/17,,,,,,,,,,,,,,Started a petition for MSU to serve local meats,,Unknown,Freshman,,,,
Intr Studies In Social Science,11/21/17,,,,,,,,,,,,,,Wanted a recipe,,Unknown,Senior,,,,
,11/21/17,,,,,,,,,,,x,,,Allergic to all meats -- bad experiences at Brody,,Brody,Employee,,,,
Lyman Briggs,12/4/17,,,,,x,x,,,,,,,,Coconut; airborne to pistachios,,Akers,Incoming Freshman,,X,,
Engingeering,12/18/17,,,,,,,,,x,,,,,Sparty's,,Off Campus,Graduate,,,,
Human Biology,1/16/18,,,,,,,,,,,,,,,Nutritionals,Unknown,Freshman,,,,
Microbiology,1/19/18,,,,,,,,,,,,,,,Nutritionals,Unknown,Sophomore,,,,
Hospitality Business,1/23/18,,,,,,,,,,,,,,,Nutritionals,Off Campus,Freshman,,,,
Prenursing,1/24/18,,,,,,,,,,,,,,,Bakery information and nutritionals,Case,Freshman,,,,
Premed,1/25/18,,x,,,x,x,x,x,,,,,,"intolerances to safflower oil, sunflower oil, gluten, legumes, soy, chia, flax, poppy, chickpeas",,South,Freshman,,,,
,1/30/18,,,,,,,,,,x,,,,,,Unknown,Incoming Freshman,,,,
,2/1/18,x,x,,,x,x,,x,,,,,,Legumes,,Unknown,Incoming Freshman,,X,,
,2/3/18,,,x,x,,,,,,,,x,,,,Unknown,Incoming Freshman,,,,
Dietetics,2/12/18,,,,,,,,,,,,,,,Nutritionals,Off Campus,Freshman,,,,
Lyman Briggs,2/13/18,,,,,,,,,,,,,,,Nutritionals,Akers,Freshman,,,,
Computer Science,2/22/18,,x,x,x,,,,,x,,,,,"Garlic, onions, fructose",,Case,Freshman,,X,,
Human Biology,2/22/18,,,,,,,,,,,,,,Allergens for QSRs,,Off Campus,Junior,,,,
Social Work,2/22/18,,x,,,,,,,,,,,,Dairy free options at Sparty's,,Off Campus,Employee,,,,
Prevet,2/28/18,,,,,,,,,x,,,,,"Corn, chicken, beef, pork",,Akers,Freshman,,,,
,3/9/18,,,,,,,,,x,,,,,Celiac,,Unknown,Prospective,,,,
Envir Studies & Sustainability,3/9/18,,,,,,,,,x,,,,,"Celiac, Type 1 DM",,Unknown,Senior,,,,
Food Industry Management,3/12/18,,,,,,,,,,x,,,,No late night options,,Unknown,Senior,,,,
Graphic Design,3/15/18,,,,,,,,,,x,,,,,,Snyder,Freshman,,,,
Media and Info,3/18/18,,,,,,,,,,,,,,Wanted recipes,,Unknown,Junior,,,,
Physics,3/19/18,,,,,,,,,,x,,,,,,Akers,Freshman,,,,
Media and Info,3/19/18,,,,,,,,,,,,,,,,Akers,Freshman,,X,,
Dean,3/21/18,,,,,,,,,x,,,,,wants better signage,,Snyder,Employee,,,,
Psychology,3/22/18,,,,,,,,,,,,,,,Nutritionals,Snyder,Senior,,,,
Prevet,3/22/18,,,,,,,,,,,,,,,Nutritionals,Off Campus,Sophomore,,,,
Kinesiology,3/27/18,,,,,,,,,,,,,,,Kosher nutritionals,Brody,Sophomore,,,,
,3/27/18,,,,,,,,,,,,,,Sodium content,,Brody,Unknown,,,,
Animal Science,3/27/18,,,,,,,,,,,,,,Weight watchers,,Unknown,Sophomore,,,,
Computer Science,3/28/18,,x,,,,,,,x,,,,,,,Case,Freshman,,,,
Special Ed - Learning Disabilities,4/3/18,,,,,x,,,,,,,,,Anaphylactic,Wants PB PCs,Snyder,Freshman,,,,
James Madison,4/3/18,,,,,,,,,,,,,,EoE,,Case,Incoming Freshman,,X,,
Computer Science,4/3/18,,,,,,,,,x,,,,,Celiac; jaw surgery winter break 2019,,Unknown,Incoming Freshman,,X,,
,4/6/18,,,,,x,,,,,,,,,Reaction at Landon,,Landon,Unknown,,,,
,4/6/18,,,,,x,x,,x,,,,,,Ingestion and touch reactions to nuts,,Unknown,Prospective,,X,,
Political Science,4/6/18,,x,,,,,,,,,,,,"Colitis --No red meats, fried food, lactose, spicy, roughage or non-soft veggies",Wants a refund,Unknown,Junior,,X,,
Lyman Briggs,4/7/18,,,,,x,x,,,,,,,,"Sunflower, Poppy",,McDonel ,Incoming Freshman,,,,
Business,4/9/18,,,,,,,,,,,,,,,Nutritional Information,Case,Sophomore,,,,
Business,4/9/18,,,,,,,,,,,,,,,Nutritional Information,Unknown,Sophomore,,,,
Business,4/11/18,,,,,,,,,,,,,,Mushrooms,,Unknown,Sophomore,,,,
Film Studies,4/16/18,,,,,x,,,,x,,,,,Celiac,,Brody,Freshman,,,,
James Madison,4/16/18,,,,,,x,,,,,,,,,,Case,Incoming Freshman,,,,
Engineering,4/19/18,,,,,,,,,x,,,,,Celiac,,Wilson,Incoming Freshman,,,,
,4/19/18,,,,,,,,,x,,,,,Celiac,,Unknown,Incoming Freshman,,X,,
,4/23/18,,,,,,,,,,,x,,,Son has severe restrictions,Bad experience with Brody menu options,Brody,Community,,,,
REU student/Plant Genomics Summer Program,4/24/18,,x,,,,,,x,,,x,,,Crohn's -- corn,,Brody,Unknown,,,,
Bio/Computational Evolution in Action,4/25/18,,,,,,,,,,,,,,"Peppers, Eggplant",Wants more information on MSUtrition,Off Campus,Employee,10/7/2019,,,
IT Services,5/2/18,,,,,,,,,,,,,,,Nutritional Information,Off Campus,Employee,,,,
Controller's Office,5/2/18,,,,,,,,,,,,,,Wanted recipes,,Off Campus,Employee,,,,
Journalism,5/3/18,,,,,x,x,,,,,,,,,,Snyder,Incoming Freshman,,X,,
,5/5/18,,,,,,,,,x,,,,,,,Brody,Unknown,,,,
,5/14/18,,,,,,,,,,,,,x,,,Unknown,Incoming Freshman,,,,
,5/14/18,,,,,,,,,,x,,,,,,Unknown,Incoming Freshman,,,,
Plant Research Lab,5/17/18,,,,,,,,,,x,,,,No options at Shaw,,Shaw,Employee,,,,
Biochemistry & Molecular Biology,5/22/18,,,,,,x,,,,,,,,,,Holden,Incoming Freshman,,X,,
James Madison,5/25/18,,,,,x,x,,,,,,,,Apples,,Case,Incoming Freshman,,,,
Business,6/4/18,x,x,,,x,x,,,x,,,,,,,Akers,Incoming Freshman,,X,,
Lyman Briggs,6/5/18,x,x,,,x,x,,x,,,,,,,,Holmes,Incoming Freshman,,,,
Alumni Association,6/6/18,,,,,,,,,,,,,,Nutritional information,,Off Campus,Employee,,,,
,6/11/18,,,,,,,,,,x,,,,,,Abbott,Incoming Freshman,,,,
Civil Engineering ,6/12/18,,,,x,x,,,,,,,,,,,Wilson,Incoming Freshman,,,,
Environmental Studies & Sustainability,6/14/18,,,,,,,,,,x,,,,,,Hubbard,Incoming Freshman,,,,
Business,6/18/18,,,,,x,x,,,,,,,,"Legumes, Mangos",,Akers,Incoming Freshman,,,,
Engineering,6/19/18,,,,,,,,,,,,x,,,,Wilson,Incoming Freshman,,,,
Biochemistry & Molecular Biology,6/25/18,,,,,,,,,,,,,,Wants more clean venues,,Off Campus,Employee,,,,
Arts and Humanities,6/26/18,,,,,,,,,x,,x,,,,,Gallery,Incoming Freshman,,,,
Food Laws and Regulations,6/26/18,,,,,,,,,,,,,,Wants GF breads behind venues,,Off Campus,Employee,,,,
,6/30/18,,,,,x,x,,,,,,,,Others,,Unknown,Prospective,,,,
Biomedical Laboratory Science,7/2/18,x,x,,,x,x,,,x,,,,,,,Campbell,Incoming Freshman,,,,
Engineering,7/12/18,,,,,,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
,7/16/18,,,,,x,x,,,,,,,,,,Unknown,Prospective,,,,
Psychology,7/16/18,,,,,,,,,,,,,,Recipe request,,Unknown,Senior,,,,
James Madison,7/18/18,,,,,,,,,,,,,,"Any type of pepper, especially bell peppers",,Holmes,Freshman,,,,
Engineering,7/19/18,,,,,,,,,,,,,,"no sugar, CHO, extra fat; concerned about how food is made",Adverse to dining halls,Brody,Incoming Freshman,,,,
Environmental Biology/Zoology,7/24/18,,x,,,,,,,x,,,,,low carb,,Yakeley,Incoming Freshman,,X,,
Dietetics ,7/24/18,,,,,,,,x,x,x,,,,,choices for NSO on 8/19,Off Campus,Transfer ,,,,
Business,7/25/18,,,,,,,,,,,,,,FODMAP,sent to RCPD,Unknown,Sophomore,,X,,
Genomics & Molecular Genetics,8/6/18,,,,,,,,,,,,,,Sparty's nutritional information,,Off Campus,Senior,,,,
Lyman Briggs,8/9/18,,,,,,,,,,,,,,Yeast,,Holmes,Incoming Freshman,,X,,
Prelaw,8/9/18,,,,,,,,,x,,,,,Celiac Disease,,Mason,Incoming Freshman,,X,,
Law,8/9/18,,,,,,x,,,,,,,,"Corn, Avocados",,Shaw,Unknown,,,,
Journalism,8/13/18,,,,,,,,,,,,,,MSUtrition,,Unknown,Senior,,,,
Psychology,8/14/18,,x,,,x,x,,x,,,,,,"Peas, Garbanzo Beans, Seeds",,Mason,Incoming Freshman,,,,
Kinesiology,8/14/18,,,,,,,,,x,,,,,Worried about places outside of dining halls,,Owen,Junior,,,,
Engineering,8/14/18,,,,,,,,,,,,,,"Moderate to Severe reflux; avoids tomatoes, citrus, spicy foods",,Wilson,Incoming Freshman,,,,
Computer Science,8/14/18,,,,,,,,,,,,,,Nutritionals,,Unknown,Junior,,,,
No Pref,8/16/18,,,,,,,,,,x,,,,,,Abbott,Incoming Freshman,,,,
Physics,8/16/18,,,,,x,x,,,,,,,,Coconut,,Abbott,Incoming Freshman,,,,
Biochemistry and Molecular Biology,8/16/18,,,,,,,,,,x,,,,,,Abbott,Incoming Freshman,,,,
Business,8/16/18,,,,,x,x,,,,,,,,,,Akers,Incoming Freshman,,,,
Engineering,8/16/18,,,,,x,x,,,,,,,,,,Akers,Incoming Freshman,,,,
No Pref,8/16/18,,,,,x,x,,,,,,,,,,Akers,Incoming Freshman,,,,
Actuarial Science,8/16/18,,,,,x,,,,,,,,,,,Akers,Incoming Freshman,,,,
Business ,8/16/18,,,,,x,,,,,,,,,,,Akers,Incoming Freshman,,,,
Advertising Management,8/16/18,,,,,x,,,,,,,,,,,Akers,Incoming Freshman,,,,
Criminal Justice,8/16/18,,,,,,x,,,,,,,,,,Akers,Incoming Freshman,,,,
Business,8/16/18,,,,,,x,,,,,,,,,,Akers,Incoming Freshman,,,,
Neuroscience,8/16/18,,,x,,,,,,,,,,,Tilapia family,,Akers,Incoming Freshman,,,,
No Pref,8/16/18,,,,x,,,,,,,,,,,,Akers,Incoming Freshman,,,,
Pre-Vet,8/16/18,,,x,x,x,,,,,,,,,,,Akers,Incoming Freshman,,,,
Pre-Nursing,8/16/18,,,x,x,x,,,,,,,,,Strawberries,,Akers,Incoming Freshman,,,,
Political Science,8/16/18,,,x,,x,,,,,,,,,"red meat (pork, beef, lamb)",,Akers,Incoming Freshman,,,,
Psychology,8/16/18,,,x,,x,,,,,,,,,,,Akers,Incoming Freshman,,,,
Environmental Biology/Zoology,8/16/18,,,,,,,,,,x,,,,,12/7/19: vegan options at Landon,Akers,Incoming Freshman,,,,
Pre-Nursing,8/16/18,,,,,,,,,,,,,,Everything,,Akers,Incoming Freshman,,,,
Psychology,8/16/18,,x,,,,,,,,,,,,,,Akers,Incoming Freshman,,,,
Business,8/16/18,,x,,,,,,,,,,,,,,Akers,Incoming Freshman,,,,
Biochemistry and Molecular Biology,8/16/18,,x,,,,,,,,,,,,Lactose Intolerant,,Akers,Incoming Freshman,,,,
Kinesiology,8/16/18,,x,,,,,,,,,,,,,,Akers,Incoming Freshman,,,,
No Pref,8/16/18,,,x,x,,,,,,,,,,,,Armstrong,Incoming Freshman,,,,
Business,8/16/18,,,,,,,,,x,,,,,,,Armstrong,Incoming Freshman,,,,
Engineering,8/16/18,,,,,,,,,,,x,,,,,Armstrong,Incoming Freshman,,,,
Psychology,8/16/18,,,,,,,,,,,x,,,,,Armstrong,Incoming Freshman,,,,
Pre-Vet,8/16/18,x,,,,x,x,,x,,,,,,,,Armstrong,Incoming Freshman,,,,
Engineering,8/16/18,,,,,,,,,,x,,,,,,Bailey,Incoming Freshman,,,,
Business,8/16/18,,,,,x,x,,,,,,,,,,Brody,Incoming Freshman,,,,
Business,8/16/18,,,,,x,x,,,,,,,,,,Brody,Incoming Freshman,,,,
Business,8/16/18,,,,,x,,,,,,,,,,,Brody,Incoming Freshman,,,,
Business,8/16/18,,x,,,,,,,x,,,,,,,Brody,Incoming Freshman,,,,
Advertising Creative,8/16/18,,x,,,,,,,x,,,,,,,Brody,Incoming Freshman,,,,
Pre-Law,8/16/18,,,,,,,,,,,,,,,,Brody,Incoming Freshman,,,,
Business,8/16/18,,x,,,,,,,,,,,,Lactose Intolerant,,Brody,Incoming Freshman,,,,
Business,8/16/18,,,,,x,x,,,,,,,,,,Bryan,Incoming Freshman,,,,
No Pref,8/16/18,,,,,x,x,,x,,,,,,Corn,,Bryan,Incoming Freshman,,,,
James Madison,8/16/18,,,,,x,x,,,,,,,,,,Case,Incoming Freshman,,,,
James Madison,8/16/18,,,,,x,x,,,,,,,,,,Case,Incoming Freshman,,,,
James Madison,8/16/18,,,,,x,x,,,,,,,,,,Case,Incoming Freshman,,,,
James Madison,8/16/18,,,,,,x,,,,,,,,,,Case,Incoming Freshman,,,,
James Madison,8/16/18,,x,,,,,,,x,,,,,,,Case,Incoming Freshman,,,,
James Madison,8/16/18,,,,,,,,,,x,,,,,,Case,Incoming Freshman,,,,
James Madison,8/16/18,,,,,,,,,,x,,,,,,Case,Incoming Freshman,,,,
Zoology,8/16/18,,,,,,,,,,x,,,,,,Case,Incoming Freshman,,,,
James Madison,8/16/18,,,,,,,,,,,x,,,,,Case,Incoming Freshman,,,,
James Madison,8/16/18,,,,,,,,,,,,,,,,Case,Incoming Freshman,,,,
James Madison,8/16/18,,x,,,,,,,,,,,,,,Case,Incoming Freshman,,,,
James Madison,8/16/18,,x,,,,,,,,,,,,,,Case,Incoming Freshman,,,,
James Madison,8/16/18,,x,,,,,,x,,,,,,,,Case,Incoming Freshman,,,,
Human Biology,8/16/18,,,,,,,,,x,,,,,,,Off Campus,Incoming Freshman,,,,
No Pref,8/16/18,,x,,,,,,,,,,,,,,Akers,Incoming Freshman,,,,
Pre-Nursing,8/16/18,,,,,,x,,,,,,,,,,Emmons,Incoming Freshman,,,,
Media and Information,8/16/18,,,,,,,,,x,,,,,,,Emmons,Incoming Freshman,,,,
No Pref,8/16/18,,x,,,,,,,,,,,,,,Emmons,Incoming Freshman,,,,
Zoology,8/16/18,,x,,,,,,,x,,,,,,,Gilchrist,Incoming Freshman,,,,
Computer Science,8/16/18,,x,,,,,,,x,,,,,,,Gilcrest,Incoming Freshman,,,,
Communication,8/16/18,,,,,x,x,,x,,,,,,,,Holden,Incoming Freshman,,,,
Engineering,8/16/18,,,,,x,,,,,,,,,,,Holden,Incoming Freshman,,,,
Mathematics,8/16/18,,,,,,x,,,,,,,,,,Holden,Incoming Freshman,,,,
Engineering,8/16/18,,,,,,x,,,,,,,,,,Holden,Incoming Freshman,,,,
Human Capital and Society,8/16/18,,,,,,,,,x,,,,,,,Holden,Incoming Freshman,,,,
Business,8/16/18,,,,,,,,,,x,,,,,,Holden,Incoming Freshman,,,,
Pre-Vet,8/16/18,,,,,,,,,,,x,,,,,Holden,Incoming Freshman,,,,
No Pref,8/16/18,,,,,,,,,,,,,,"Healthier diet, organic",,Holden,Incoming Freshman,,,,
Lyman Briggs,8/16/18,,,,,x,x,,,,,,,,,,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/16/18,,,,,x,x,,,,,,,,,,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/16/18,,,,,x,x,,,,,,,,,,Holmes,Incoming Freshman,,,,
Special Ed,8/16/18,,,,,x,x,,,,,,,,,,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/16/18,,,,,x,,,,,,,,,,,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/16/18,,,,,,x,,,,,,,,,,Holmes,Incoming Freshman,,,,
Natural Science,8/16/18,,,,,,x,,,,,,,,,,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/16/18,,,,,,x,,,,,,,,,,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/16/18,,,,x,,,,,,,,,,,,Holmes,Incoming Freshman,,,,
No Pref,8/16/18,,,,,,,,,x,,,,,Severe,,Holmes,Incoming Freshman,,X,,
Lyman Briggs,8/16/18,,,,,,,,,x,,,,,,,Holmes,Incoming Freshman,,,,
No Pref,8/16/18,,,,,,,,,,x,,,,,,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/16/18,,,,,,,,,,,x,,,,,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/16/18,,,,,,,,,,,x,,,,,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/16/18,,,,,,,,,x,,x,,,,,Holmes,Incoming Freshman,,,,
Lyman Briggs,8/16/18,,x,,,,,,,,,,,,,,Holmes,Incoming Freshman,,,,
Business,8/16/18,,,,,x,x,,,,,,,,,,Hubbard,Incoming Freshman,,,,
Media and Information,8/16/18,,,,,x,x,,,,,,,,,,Hubbard,Incoming Freshman,,,,
Pre-Nursing,8/16/18,,,,,x,,,,,,,,,,,Hubbard,Incoming Freshman,,,,
Neuroscience,8/16/18,,,,,,x,,,,,,,,,,Hubbard,Incoming Freshman,,,,
No Pref,8/16/18,,,,x,,,,,,,,,,,,Hubbard,Incoming Freshman,,,,
Mechanical Engineering,8/16/18,,,x,,x,x,,,,,,,,,,Hubbard,Incoming Freshman,,,,
Prenursing,8/16/18,,,,,,,,,x,,,,,,,Hubbard,Incoming Freshman,,,,
No Pref,8/16/18,,,,,,,,,x,,,,,,,Hubbard,Incoming Freshman,,,,
Pre-Med,8/16/18,,,,,,,,,,,x,,,,,Hubbard,Incoming Freshman,,,,
Pre-Med,8/16/18,,,,,,,,,,,,,,,,Hubbard,Incoming Freshman,,,,
Pre-Nursing,8/16/18,,,,,x,x,,,,,,,,,,Mason,Incoming Freshman,,,,
No Pref,8/16/18,,,,,,x,,,,,,,,,,Mason,Incoming Freshman,,,,
Neuroscience,8/16/18,,,,,,x,,,,,,,,,,Mason,Incoming Freshman,,,,
Plant Biology,8/16/18,,,,,,,,,x,,,,,,,Mason,Incoming Freshman,,,,
Prelaw,8/16/18,,,,,,,,,x,,,,,,,Mason,Incoming Freshman,,X,,
Pre-Nursing,8/16/18,,,,,,,,,x,,,,,,,Mason,Incoming Freshman,,,,
Pre-Nursing,8/16/18,,,,,x,,,,,,,,,,,Mayo,Incoming Freshman,,,,
Business,8/16/18,,,,,x,x,,,,,,,,,,McDonel,Incoming Freshman,,,,
No Pref,8/16/18,,,,,x,x,,,,,,,,,,McDonel,Incoming Freshman,,,,
Business,8/16/18,,,,,x,x,,,,,,,,,,McDonel,Incoming Freshman,,,,
Business,8/16/18,,,,,,x,,,,,,,,,,McDonel,Incoming Freshman,,,,
Business,8/16/18,,,,,,x,,,,,,,,Hazelnut,,McDonel,Incoming Freshman,,,,
Hospitality Business,8/16/18,,,,,,x,,,,,,,,,,McDonel,Incoming Freshman,,,,
Pre-Med,8/16/18,,,,,,x,,,,,,,,,,McDonel,Incoming Freshman,,,,
Business,8/16/18,,,,,,,,,,,x,,,,,McDonel,Incoming Freshman,,,,
Business,8/16/18,,x,,,,,,,,,,,,,,McDonel,Incoming Freshman,,,,
Business,8/16/18,,x,,,,,,,,,,,,,,McDonel,Incoming Freshman,,,,
Business,8/16/18,,,,x,x,x,,x,,,,,,Watermelon,,McDonel,Incoming Freshman,,,,
History,8/16/18,,,,,,,,,x,,,,,,,Off Campus,Incoming Freshman,,,,
Journalism,8/16/18,,,,,x,x,,,,,,,,,,Snyder,Incoming Freshman,,X,,
Pre-Med,8/16/18,,,,,x,,,,,,,,,,,Snyder,Incoming Freshman,,,,
Engineering,8/16/18,,,,,,x,,,,,,,,,,Rather,Incoming Freshman,,,,
Pre-Med,8/16/18,,,,,,,,,x,,,,,,,Shaw,Incoming Freshman,,,,
Genomics & Molecular Genetics,8/16/18,,,,,,,,,x,,,,,,,Shaw,Incoming Freshman,,,,
Business,8/16/18,,,,,,,,,,,x,,,,,Shaw,Incoming Freshman,,,,
Pre-Dental,8/16/18,,,,,,,,,,,x,,,,,Shaw,Incoming Freshman,,,,
Journalism,8/16/18,,,,,,,,,,,x,,,,,Shaw,Incoming Freshman,,,,
Arts and Humanities,8/16/18,,,,,,x,,,,,,,,Pistachios,,Snyder,Incoming Freshman,,,,
Arts and Humanities,8/16/18,,x,,,,,,,x,,,,,,,Snyder,Incoming Freshman,,,,
Linguistics,8/16/18,,,,,,,,,,x,,,,,,Snyder,Incoming Freshman,,,,
Arts and Humanities,8/16/18,,,,,,,,,,,x,,,,,Snyder,Incoming Freshman,,,,
Pre-Vet,8/16/18,,,,,,,,,x,,x,,,,,Snyder,Incoming Freshman,,,,
Computer Science,8/16/18,,,,,,,,,,x,,,,allergies,,Snyder,Incoming Freshman,,,,
Business,8/16/18,,,,,x,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Computer Science,8/16/18,,,,,x,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Engineering,8/16/18,,,,,x,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Engineering,8/16/18,,,,,x,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Engineering,8/16/18,,,,,,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Business,8/16/18,,,,x,x,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Engineering,8/16/18,,,,,,,,,x,,,,,,,Wilson,Incoming Freshman,,,,
Engineering,8/16/18,,,,,,,,,x,,,,,"Celiac, Diabetic",,Wilson,Incoming Freshman,,,,
Prenursing,8/16/18,,,,,,,,,,,x,,,,,Wilson,Incoming Freshman,,,,
Pre-Dental,8/16/18,,,,,,,,,,,x,,,,,Wilson,Incoming Freshman,,,,
Engineering,8/16/18,,x,,,,,,,,,,,,,,Wilson,Incoming Freshman,,,,
Computer Science,8/16/18,,x,,,x,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
Engineering,8/16/18,,x,,,x,,,,,,,,,,,Wilson,Incoming Freshman,,,,
Computer Science,8/16/18,,x,,,,,,,,,,,,,,Wilson,Incoming Freshman,,,,
Computer Science,8/16/18,x,x,,,,,,x,,,,,,,,Wilson,Incoming Freshman,,,,
Computer Science,8/16/18,,x,,,,,,,x,,,,,HFCS,,Wilson,Incoming Freshman,,,,
Engineering,8/16/18,,,,,x,x,,,,,,,,,,Wonders,Incoming Freshman,,,,
